userId,language,mistakePatternId,occurrenceCount,masteryScore,userArchetype
user_29,cpp,cpp.InfiniteLoop,22,0.16,LogicLooper
user_29,python,python.OffByOne,20,0.18,LogicLooper
user_30,cpp,cpp.PointerErrors,2,0.94,PolyglotPro
user_30,java,java.NullPointerException,1,0.98,PolyglotPro
user_30,python,python.AsyncAwait,3,0.90,PolyglotPro
user_31,cpp,cpp.PointerErrors,20,0.19,PointerStruggler
user_32,java,java.NullPointerException,28,0.11,JavaNewbie
user_33,python,python.ListComprehension,35,0.93,Pythonista
user_34,cpp,cpp.InfiniteLoop,20,0.19,LogicLooper
user_35,cpp,cpp.PointerErrors,1,0.99,PolyglotPro
user_36,cpp,cpp.MemoryLeaks,22,0.15,PointerStruggler
user_37,java,java.TypeMismatch,24,0.12,JavaNewbie
user_38,python,python.NameError,3,0.85,Pythonista
user_39,python,python.OffByOne,21,0.17,LogicLooper
user_40,java,java.NullPointerException,2,0.94,PolyglotPro
user_41,cpp,cpp.PointerErrors,26,0.10,PointerStruggler
user_42,java,java.NullPointerException,32,0.07,JavaNewbie
user_43,python,python.ListComprehension,39,0.98,Pythonista
user_44,cpp,cpp.InfiniteLoop,23,0.14,LogicLooper
user_45,cpp,cpp.PointerErrors,3,0.90,PolyglotPro
user_46,cpp,cpp.MemoryLeaks,18,0.22,PointerStruggler
user_47,java,java.TypeMismatch,20,0.18,JavaNewbie
user_48,python,python.NameError,8,0.65,Pythonista
user_49,python,python.OffByOne,19,0.21,LogicLooper
user_50,java,java.NullPointerException,1,0.99,PolyglotPro
user_51,cpp,cpp.PointerErrors,21,0.16,PointerStruggler
user_51,cpp,cpp.MemoryLeaks,17,0.23,PointerStruggler
user_51,java,java.NullPointerException,4,0.72,PointerStruggler
user_52,java,java.NullPointerException,27,0.11,JavaNewbie
user_52,java,java.TypeMismatch,19,0.21,JavaNewbie
user_52,python,python.IndentationError,5,0.70,JavaNewbie
user_53,python,python.ListComprehension,34,0.94,Pythonista
user_53,python,python.AsyncAwait,2,0.89,Pythonista
user_53,cpp,cpp.PointerErrors,24,0.13,Pythonista
user_54,cpp,cpp.InfiniteLoop,18,0.25,LogicLooper
user_54,python,python.OffByOne,16,0.29,LogicLooper
user_54,java,java.ArrayIndexOutOfBounds,14,0.32,LogicLooper
user_55,cpp,cpp.PointerErrors,2,0.96,PolyglotPro
user_55,java,java.NullPointerException,1,0.97,PolyglotPro
user_55,python,python.AsyncAwait,2,0.95,PolyglotPro
user_56,cpp,cpp.PointerErrors,23,0.14,PointerStruggler
user_56,cpp,cpp.MemoryLeaks,20,0.18,PointerStruggler
user_56,cpp,cpp.OffByOne,6,0.62,PointerStruggler
user_57,java,java.NullPointerException,29,0.09,JavaNewbie
user_57,java,java.StaticMethods,16,0.28,JavaNewbie
user_57,python,python.TypeError,3,0.81,JavaNewbie
user_58,python,python.ListComprehension,36,0.95,Pythonista
user_58,python,python.NameError,5,0.74,Pythonista
user_58,java,java.NullPointerException,2,0.88,Pythonista
user_59,cpp,cpp.InfiniteLoop,20,0.19,LogicLooper
user_59,python,python.OffByOne,18,0.23,LogicLooper
user_59,java,java.ArrayIndexOutOfBounds,16,0.27,LogicLooper
user_60,cpp,cpp.PointerErrors,1,0.98,PolyglotPro
user_60,python,python.AsyncAwait,1,0.99,PolyglotPro
user_60,java,java.NullPointerException,2,0.94,PolyglotPro
user_61,cpp,cpp.PointerErrors,19,0.20,PointerStruggler
user_61,cpp,cpp.MemoryLeaks,15,0.26,PointerStruggler
user_61,python,python.IndentationError,4,0.75,PointerStruggler
user_62,java,java.NullPointerException,25,0.14,JavaNewbie
user_62,java,java.TypeMismatch,17,0.24,JavaNewbie
user_62,cpp,cpp.InfiniteLoop,8,0.55,JavaNewbie
user_63,python,python.ListComprehension,32,0.91,Pythonista
user_63,python,python.AsyncAwait,3,0.86,Pythonista
user_63,cpp,cpp.MemoryLeaks,22,0.15,Pythonista
user_64,cpp,cpp.InfiniteLoop,17,0.26,LogicLooper
user_64,python,python.OffByOne,15,0.31,LogicLooper
user_64,java,java.ArrayIndexOutOfBounds,13,0.35,LogicLooper
user_65,java,java.NullPointerException,1,0.99,PolyglotPro
user_65,cpp,cpp.PointerErrors,3,0.92,PolyglotPro
user_65,python,python.ListComprehension,2,0.96,PolyglotPro
user_66,cpp,cpp.PointerErrors,26,0.11,PointerStruggler
user_66,cpp,cpp.MemoryLeaks,21,0.17,PointerStruggler
user_66,java,java.ArrayIndexOutOfBounds,5,0.68,PointerStruggler
user_67,java,java.NullPointerException,30,0.08,JavaNewbie
user_67,java,java.StaticMethods,18,0.25,JavaNewbie
user_67,python,python.ValueError,6,0.65,JavaNewbie
user_68,python,python.ListComprehension,37,0.96,Pythonista
user_68,python,python.NameError,4,0.79,Pythonista
user_68,cpp,cpp.OffByOne,9,0.58,Pythonista
user_69,cpp,cpp.InfiniteLoop,21,0.17,LogicLooper
user_69,python,python.OffByOne,19,0.20,LogicLooper
user_69,java,java.ArrayIndexOutOfBounds,17,0.26,LogicLooper
user_70,python,python.AsyncAwait,2,0.93,PolyglotPro
user_70,java,java.NullPointerException,1,0.98,PolyglotPro
user_70,cpp,cpp.MemoryLeaks,1,0.97,PolyglotPro
user_71,cpp,cpp.PointerErrors,22,0.15,PointerStruggler
user_71,cpp,cpp.MemoryLeaks,19,0.20,PointerStruggler
user_71,python,python.SyntaxError,5,0.70,PointerStruggler
user_72,java,java.NullPointerException,26,0.12,JavaNewbie
user_72,java,java.TypeMismatch,20,0.19,JavaNewbie
user_72,cpp,cpp.PointerErrors,12,0.42,JavaNewbie
user_73,python,python.ListComprehension,33,0.92,Pythonista
user_73,python,python.AsyncAwait,4,0.83,Pythonista
user_73,java,java.TypeMismatch,7,0.72,Pythonista
user_74,cpp,cpp.InfiniteLoop,19,0.22,LogicLooper
user_74,python,python.OffByOne,17,0.25,LogicLooper
user_74,java,java.ArrayIndexOutOfBounds,15,0.29,LogicLooper
user_75,cpp,cpp.PointerErrors,2,0.95,PolyglotPro
user_75,java,java.NullPointerException,2,0.93,PolyglotPro
user_75,python,python.NameError,1,0.98,PolyglotPro
user_76,cpp,cpp.PointerErrors,24,0.13,PointerStruggler
user_76,cpp,cpp.MemoryLeaks,18,0.22,PointerStruggler
user_76,java,java.NullPointerException,6,0.60,PointerStruggler
user_77,java,java.NullPointerException,28,0.10,JavaNewbie
user_77,java,java.StaticMethods,17,0.26,JavaNewbie
user_77,python,python.IndentationError,4,0.77,JavaNewbie
user_78,python,python.ListComprehension,35,0.94,Pythonista
user_78,python,python.NameError,6,0.71,Pythonista
user_78,cpp,cpp.InfiniteLoop,11,0.48,Pythonista
user_79,cpp,cpp.InfiniteLoop,20,0.18,LogicLooper
user_79,python,python.OffByOne,18,0.22,LogicLooper
user_79,java,java.ArrayIndexOutOfBounds,16,0.28,LogicLooper
user_80,java,java.NullPointerException,1,0.99,PolyglotPro
user_80,python,python.AsyncAwait,3,0.91,PolyglotPro
user_80,cpp,cpp.OffByOne,2,0.94,PolyglotPro
user_81,cpp,cpp.PointerErrors,20,0.18,PointerStruggler
user_81,cpp,cpp.MemoryLeaks,16,0.25,PointerStruggler
user_81,python,python.TypeError,4,0.73,PointerStruggler
user_82,java,java.NullPointerException,27,0.11,JavaNewbie
user_82,java,java.TypeMismatch,21,0.16,JavaNewbie
user_82,cpp,cpp.MemoryLeaks,10,0.45,JavaNewbie
user_83,python,python.ListComprehension,36,0.95,Pythonista
user_83,python,python.AsyncAwait,2,0.90,Pythonista
user_83,java,java.ArrayIndexOutOfBounds,3,0.85,Pythonista
user_84,cpp,cpp.InfiniteLoop,18,0.24,LogicLooper
user_84,python,python.OffByOne,16,0.27,LogicLooper
user_84,java,java.ArrayIndexOutOfBounds,14,0.33,LogicLooper
user_85,cpp,cpp.PointerErrors,1,0.97,PolyglotPro
user_85,python,python.ListComprehension,1,0.99,PolyglotPro
user_85,java,java.StaticMethods,1,0.98,PolyglotPro
user_86,cpp,cpp.PointerErrors,25,0.12,PointerStruggler
user_86,cpp,cpp.MemoryLeaks,22,0.15,PointerStruggler
user_86,java,java.TypeMismatch,7,0.65,PointerStruggler
user_87,java,java.NullPointerException,31,0.07,JavaNewbie
user_87,java,java.StaticMethods,19,0.23,JavaNewbie
user_87,python,python.NameError,5,0.69,JavaNewbie
user_88,python,python.ListComprehension,38,0.97,Pythonista
user_88,python,python.NameError,5,0.76,Pythonista
user_88,cpp,cpp.PointerErrors,26,0.10,Pythonista
user_89,cpp,cpp.InfiniteLoop,22,0.15,LogicLooper
user_89,python,python.OffByOne,20,0.19,LogicLooper
user_89,java,java.ArrayIndexOutOfBounds,18,0.24,LogicLooper
user_90,python,python.AsyncAwait,1,0.97,PolyglotPro
user_90,java,java.NullPointerException,2,0.95,PolyglotPro
user_90,cpp,cpp.InfiniteLoop,1,0.98,PolyglotPro
user_91,cpp,cpp.PointerErrors,21,0.17,PointerStruggler
user_91,cpp,cpp.MemoryLeaks,17,0.24,PointerStruggler
user_91,python,python.IndentationError,6,0.62,PointerStruggler
user_92,java,java.NullPointerException,29,0.09,JavaNewbie
user_92,java,java.TypeMismatch,18,0.22,JavaNewbie
user_92,cpp,cpp.OffByOne,9,0.52,JavaNewbie
user_93,python,python.ListComprehension,34,0.93,Pythonista
user_93,python,python.AsyncAwait,3,0.87,Pythonista
user_93,java,java.NullPointerException,4,0.80,Pythonista
user_94,cpp,cpp.InfiniteLoop,19,0.21,LogicLooper
user_94,python,python.OffByOne,17,0.24,LogicLooper
user_94,java,java.ArrayIndexOutOfBounds,15,0.30,LogicLooper
user_95,java,java.NullPointerException,1,0.98,PolyglotPro
user_95,cpp,cpp.MemoryLeaks,2,0.93,PolyglotPro
user_95,python,python.OffByOne,2,0.94,PolyglotPro
user_96,cpp,cpp.PointerErrors,23,0.14,PointerStruggler
user_96,cpp,cpp.MemoryLeaks,20,0.19,PointerStruggler
user_96,java,java.StaticMethods,8,0.58,PointerStruggler
user_97,java,java.NullPointerException,26,0.13,JavaNewbie
user_97,java,java.TypeMismatch,22,0.15,JavaNewbie
user_97,python,python.ValueError,7,0.60,JavaNewbie
user_98,python,python.ListComprehension,37,0.96,Pythonista
user_98,python,python.NameError,4,0.78,Pythonista
user_98,cpp,cpp.InfiniteLoop,13,0.44,Pythonista
user_99,cpp,cpp.InfiniteLoop,21,0.17,LogicLooper
user_99,python,python.OffByOne,19,0.21,LogicLooper
user_99,java,java.ArrayIndexOutOfBounds,17,0.25,LogicLooper
user_100,cpp,cpp.PointerErrors,2,0.94,PolyglotPro
user_100,python,python.AsyncAwait,2,0.92,PolyglotPro
user_100,java,java.ArrayIndexOutOfBounds,1,0.97,PolyglotPro
user_101,cpp,cpp.PointerErrors,20,0.19,PointerStruggler
user_101,cpp,cpp.MemoryLeaks,18,0.22,PointerStruggler
user_101,java,java.NullPointerException,5,0.71,PointerStruggler
user_102,java,java.NullPointerException,26,0.12,JavaNewbie
user_102,java,java.TypeMismatch,19,0.20,JavaNewbie
user_102,python,python.IndentationError,6,0.68,JavaNewbie
user_103,python,python.ListComprehension,33,0.92,Pythonista
user_103,python,python.AsyncAwait,4,0.84,Pythonista
user_103,cpp,cpp.PointerErrors,23,0.14,Pythonista
user_104,cpp,cpp.InfiniteLoop,17,0.26,LogicLooper
user_104,python,python.OffByOne,15,0.30,LogicLooper
user_104,java,java.ArrayIndexOutOfBounds,14,0.31,LogicLooper
user_105,cpp,cpp.PointerErrors,1,0.98,PolyglotPro
user_105,java,java.NullPointerException,2,0.95,PolyglotPro
user_105,python,python.AsyncAwait,1,0.97,PolyglotPro
user_106,cpp,cpp.PointerErrors,24,0.13,PointerStruggler
user_106,cpp,cpp.MemoryLeaks,21,0.17,PointerStruggler
user_106,cpp,cpp.OffByOne,7,0.61,PointerStruggler
user_107,java,java.NullPointerException,28,0.10,JavaNewbie
user_107,java,java.StaticMethods,16,0.27,JavaNewbie
user_107,python,python.TypeError,4,0.79,JavaNewbie
user_108,python,python.ListComprehension,35,0.94,Pythonista
user_108,python,python.NameError,6,0.72,Pythonista
user_108,java,java.NullPointerException,3,0.86,Pythonista
user_109,cpp,cpp.InfiniteLoop,19,0.22,LogicLooper
user_109,python,python.OffByOne,18,0.23,LogicLooper
user_109,java,java.ArrayIndexOutOfBounds,16,0.27,LogicLooper
user_110,cpp,cpp.PointerErrors,2,0.96,PolyglotPro
user_110,python,python.AsyncAwait,2,0.93,PolyglotPro
user_110,java,java.NullPointerException,1,0.98,PolyglotPro
user_111,cpp,cpp.PointerErrors,19,0.20,PointerStruggler
user_111,cpp,cpp.MemoryLeaks,15,0.25,PointerStruggler
user_111,python,python.IndentationError,5,0.73,PointerStruggler
user_112,java,java.NullPointerException,25,0.14,JavaNewbie
user_112,java,java.TypeMismatch,17,0.23,JavaNewbie
user_112,cpp,cpp.InfiniteLoop,9,0.54,JavaNewbie
user_113,python,python.ListComprehension,32,0.91,Pythonista
user_113,python,python.AsyncAwait,3,0.87,Pythonista
user_113,cpp,cpp.MemoryLeaks,21,0.16,Pythonista
user_114,cpp,cpp.InfiniteLoop,16,0.27,LogicLooper
user_114,python,python.OffByOne,14,0.32,LogicLooper
user_114,java,java.ArrayIndexOutOfBounds,13,0.34,LogicLooper
user_115,java,java.NullPointerException,1,0.99,PolyglotPro
user_115,cpp,cpp.PointerErrors,3,0.91,PolyglotPro
user_115,python,python.ListComprehension,2,0.95,PolyglotPro
user_116,cpp,cpp.PointerErrors,25,0.11,PointerStruggler
user_116,cpp,cpp.MemoryLeaks,22,0.15,PointerStruggler
user_116,java,java.ArrayIndexOutOfBounds,6,0.67,PointerStruggler
user_117,java,java.NullPointerException,29,0.09,JavaNewbie
user_117,java,java.StaticMethods,18,0.24,JavaNewbie
user_117,python,python.ValueError,7,0.64,JavaNewbie
user_118,python,python.ListComprehension,36,0.95,Pythonista
user_118,python,python.NameError,5,0.75,Pythonista
user_118,cpp,cpp.OffByOne,10,0.57,Pythonista
user_119,cpp,cpp.InfiniteLoop,20,0.19,LogicLooper
user_119,python,python.OffByOne,19,0.20,LogicLooper
user_119,java,java.ArrayIndexOutOfBounds,17,0.26,LogicLooper
user_120,python,python.AsyncAwait,2,0.94,PolyglotPro
user_120,java,java.NullPointerException,1,0.97,PolyglotPro
user_120,cpp,cpp.MemoryLeaks,1,0.98,PolyglotPro
user_121,cpp,cpp.PointerErrors,21,0.18,PointerStruggler
user_121,cpp,cpp.MemoryLeaks,19,0.21,PointerStruggler
user_121,python,python.SyntaxError,6,0.69,PointerStruggler
user_122,java,java.NullPointerException,27,0.11,JavaNewbie
user_122,java,java.TypeMismatch,20,0.18,JavaNewbie
user_122,cpp,cpp.PointerErrors,11,0.43,JavaNewbie
user_123,python,python.ListComprehension,34,0.93,Pythonista
user_123,python,python.AsyncAwait,5,0.82,Pythonista
user_123,java,java.TypeMismatch,8,0.71,Pythonista
user_124,cpp,cpp.InfiniteLoop,18,0.25,LogicLooper
user_124,python,python.OffByOne,16,0.28,LogicLooper
user_124,java,java.ArrayIndexOutOfBounds,15,0.29,LogicLooper
user_125,cpp,cpp.PointerErrors,2,0.95,PolyglotPro
user_125,java,java.NullPointerException,2,0.94,PolyglotPro
user_125,python,python.NameError,1,0.96,PolyglotPro
user_126,cpp,cpp.PointerErrors,23,0.14,PointerStruggler
user_126,cpp,cpp.MemoryLeaks,18,0.22,PointerStruggler
user_126,java,java.NullPointerException,7,0.59,PointerStruggler
user_127,java,java.NullPointerException,30,0.08,JavaNewbie
user_127,java,java.StaticMethods,17,0.25,JavaNewbie
user_127,python,python.IndentationError,5,0.76,JavaNewbie
user_128,python,python.ListComprehension,37,0.96,Pythonista
user_128,python,python.NameError,7,0.70,Pythonista
user_128,cpp,cpp.InfiniteLoop,12,0.47,Pythonista
user_129,cpp,cpp.InfiniteLoop,21,0.17,LogicLooper
user_129,python,python.OffByOne,19,0.21,LogicLooper
user_129,java,java.ArrayIndexOutOfBounds,18,0.25,LogicLooper
user_130,java,java.NullPointerException,1,0.99,PolyglotPro
user_130,python,python.AsyncAwait,3,0.90,PolyglotPro
user_130,cpp,cpp.OffByOne,2,0.93,PolyglotPro
user_131,cpp,cpp.PointerErrors,20,0.19,PointerStruggler
user_131,cpp,cpp.MemoryLeaks,16,0.24,PointerStruggler
user_131,python,python.TypeError,5,0.72,PointerStruggler
user_132,java,java.NullPointerException,26,0.12,JavaNewbie
user_132,java,java.TypeMismatch,21,0.17,JavaNewbie
user_132,cpp,cpp.MemoryLeaks,9,0.46,JavaNewbie
user_133,python,python.ListComprehension,35,0.94,Pythonista
user_133,python,python.AsyncAwait,2,0.89,Pythonista
user_133,java,java.ArrayIndexOutOfBounds,4,0.83,Pythonista
user_134,cpp,cpp.InfiniteLoop,17,0.26,LogicLooper
user_134,python,python.OffByOne,15,0.31,LogicLooper
user_134,java,java.ArrayIndexOutOfBounds,14,0.32,LogicLooper
user_135,cpp,cpp.PointerErrors,1,0.97,PolyglotPro
user_135,python,python.ListComprehension,1,0.98,PolyglotPro
user_135,java,java.StaticMethods,1,0.99,PolyglotPro
user_136,cpp,cpp.PointerErrors,24,0.13,PointerStruggler
user_136,cpp,cpp.MemoryLeaks,20,0.18,PointerStruggler
user_136,java,java.TypeMismatch,8,0.64,PointerStruggler
user_137,java,java.NullPointerException,31,0.07,JavaNewbie
user_137,java,java.StaticMethods,19,0.22,JavaNewbie
user_137,python,python.NameError,6,0.68,JavaNewbie
user_138,python,python.ListComprehension,38,0.97,Pythonista
user_138,python,python.NameError,6,0.73,Pythonista
user_138,cpp,cpp.PointerErrors,25,0.11,Pythonista
user_139,cpp,cpp.InfiniteLoop,22,0.15,LogicLooper
user_139,python,python.OffByOne,20,0.18,LogicLooper
user_139,java,java.ArrayIndexOutOfBounds,19,0.23,LogicLooper
user_140,python,python.AsyncAwait,1,0.96,PolyglotPro
user_140,java,java.NullPointerException,2,0.94,PolyglotPro
user_140,cpp,cpp.InfiniteLoop,1,0.97,PolyglotPro
user_141,cpp,cpp.PointerErrors,22,0.16,PointerStruggler
user_141,cpp,cpp.MemoryLeaks,17,0.23,PointerStruggler
user_141,python,python.IndentationError,7,0.61,PointerStruggler
user_142,java,java.NullPointerException,28,0.10,JavaNewbie
user_142,java,java.TypeMismatch,18,0.21,JavaNewbie
user_142,cpp,cpp.OffByOne,10,0.51,JavaNewbie
user_143,python,python.ListComprehension,33,0.92,Pythonista
user_143,python,python.AsyncAwait,4,0.85,Pythonista
user_143,java,java.NullPointerException,5,0.79,Pythonista
user_144,cpp,cpp.InfiniteLoop,19,0.21,LogicLooper
user_144,python,python.OffByOne,17,0.24,LogicLooper
user_144,java,java.ArrayIndexOutOfBounds,16,0.28,LogicLooper
user_145,java,java.NullPointerException,1,0.98,PolyglotPro
user_145,cpp,cpp.MemoryLeaks,2,0.92,PolyglotPro
user_145,python,python.OffByOne,2,0.95,PolyglotPro
user_146,cpp,cpp.PointerErrors,25,0.12,PointerStruggler
user_146,cpp,cpp.MemoryLeaks,21,0.17,PointerStruggler
user_146,java,java.StaticMethods,9,0.57,PointerStruggler
user_147,java,java.NullPointerException,27,0.11,JavaNewbie
user_147,java,java.TypeMismatch,22,0.15,JavaNewbie
user_147,python,python.ValueError,8,0.59,JavaNewbie
user_148,python,python.ListComprehension,36,0.95,Pythonista
user_148,python,python.NameError,5,0.74,Pythonista
user_148,cpp,cpp.InfiniteLoop,14,0.43,Pythonista
user_149,cpp,cpp.InfiniteLoop,20,0.18,LogicLooper
user_149,python,python.OffByOne,18,0.22,LogicLooper
user_149,java,java.ArrayIndexOutOfBounds,17,0.26,LogicLooper
user_150,cpp,cpp.PointerErrors,2,0.94,PolyglotPro
user_150,python,python.AsyncAwait,2,0.91,PolyglotPro
user_150,java,java.ArrayIndexOutOfBounds,1,0.96,PolyglotPro
user_151,cpp,cpp.PointerErrors,18,0.21,PointerStruggler
user_151,cpp,cpp.MemoryLeaks,14,0.27,PointerStruggler
user_151,java,java.NullPointerException,4,0.74,PointerStruggler
user_152,java,java.NullPointerException,24,0.15,JavaNewbie
user_152,java,java.TypeMismatch,16,0.25,JavaNewbie
user_152,python,python.IndentationError,5,0.72,JavaNewbie
user_153,python,python.ListComprehension,31,0.90,Pythonista
user_153,python,python.AsyncAwait,3,0.88,Pythonista
user_153,cpp,cpp.PointerErrors,22,0.15,Pythonista
user_154,cpp,cpp.InfiniteLoop,15,0.29,LogicLooper
user_154,python,python.OffByOne,13,0.33,LogicLooper
user_154,java,java.ArrayIndexOutOfBounds,12,0.36,LogicLooper
user_155,cpp,cpp.PointerErrors,3,0.90,PolyglotPro
user_155,java,java.NullPointerException,1,0.96,PolyglotPro
user_155,python,python.AsyncAwait,2,0.92,PolyglotPro
user_156,cpp,cpp.PointerErrors,26,0.10,PointerStruggler
user_156,cpp,cpp.MemoryLeaks,23,0.14,PointerStruggler
user_156,cpp,cpp.OffByOne,8,0.58,PointerStruggler
user_157,java,java.NullPointerException,32,0.06,JavaNewbie
user_157,java,java.StaticMethods,20,0.21,JavaNewbie
user_157,python,python.TypeError,5,0.78,JavaNewbie
user_158,python,python.ListComprehension,39,0.98,Pythonista
user_158,python,python.NameError,8,0.66,Pythonista
user_158,java,java.NullPointerException,4,0.82,Pythonista
user_159,cpp,cpp.InfiniteLoop,23,0.14,LogicLooper
user_159,python,python.OffByOne,21,0.16,LogicLooper
user_159,java,java.ArrayIndexOutOfBounds,20,0.22,LogicLooper
user_160,cpp,cpp.PointerErrors,1,0.99,PolyglotPro
user_160,python,python.AsyncAwait,1,0.98,PolyglotPro
user_160,java,java.NullPointerException,3,0.91,PolyglotPro
user_161,cpp,cpp.PointerErrors,17,0.22,PointerStruggler
user_161,cpp,cpp.MemoryLeaks,13,0.28,PointerStruggler
user_161,python,python.IndentationError,4,0.76,PointerStruggler
user_162,java,java.NullPointerException,25,0.13,JavaNewbie
user_162,java,java.TypeMismatch,15,0.26,JavaNewbie
user_162,cpp,cpp.InfiniteLoop,8,0.56,JavaNewbie
user_163,python,python.ListComprehension,30,0.89,Pythonista
user_163,python,python.AsyncAwait,2,0.86,Pythonista
user_163,cpp,cpp.MemoryLeaks,20,0.17,Pythonista
user_164,cpp,cpp.InfiniteLoop,14,0.30,LogicLooper
user_164,python,python.OffByOne,12,0.35,LogicLooper
user_164,java,java.ArrayIndexOutOfBounds,11,0.38,LogicLooper
user_165,java,java.NullPointerException,2,0.93,PolyglotPro
user_165,cpp,cpp.PointerErrors,4,0.88,PolyglotPro
user_165,python,python.ListComprehension,3,0.89,PolyglotPro
user_166,cpp,cpp.PointerErrors,27,0.09,PointerStruggler
user_166,cpp,cpp.MemoryLeaks,24,0.13,PointerStruggler
user_166,java,java.ArrayIndexOutOfBounds,7,0.63,PointerStruggler
user_167,java,java.NullPointerException,33,0.05,JavaNewbie
user_167,java,java.StaticMethods,21,0.20,JavaNewbie
user_167,python,python.ValueError,9,0.58,JavaNewbie
user_168,python,python.ListComprehension,40,0.99,Pythonista
user_168,python,python.NameError,9,0.64,Pythonista
user_168,cpp,cpp.OffByOne,11,0.55,Pythonista
user_169,cpp,cpp.InfiniteLoop,24,0.13,LogicLooper
user_169,python,python.OffByOne,22,0.15,LogicLooper
user_169,java,java.ArrayIndexOutOfBounds,21,0.21,LogicLooper
user_170,python,python.AsyncAwait,3,0.89,PolyglotPro
user_170,java,java.NullPointerException,1,0.95,PolyglotPro
